=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.12.06 18:06:34 =~=~=~=~=~=~=~=~=~=~=~=
100000,-0.34,0.87,-0.28
100000,-0.31,0.82,-0.09
100000,-0.28,0.75,0.22
100000,-0.31,0.79,0.38
100000,-0.31,0.79,0.48
100000,-0.27,0.80,0.80
100000,-0.23,0.71,0.70
100000,-0.23,0.83,0.84
100000,-0.25,0.87,0.65
100000,-0.30,1.02,0.56
100000,-0.30,1.09,0.36
100000,-0.31,1.04,0.11
100000,-0.30,1.14,0.04
100000,-0.28,1.07,-0.34
100000,-0.33,1.06,-0.45
100000,-0.29,1.04,-0.74
100000,-0.31,0.99,-0.76
100000,-0.31,1.00,-0.70
100000,-0.36,1.01,-0.68
100000,-0.36,0.92,-0.50
100000,-0.30,0.79,-0.34
100000,-0.33,0.79,-0.21
100000,-0.32,0.81,0.06
100000,-0.29,0.89,0.07
100000,-0.26,0.77,0.45
100000,-0.34,0.88,0.54
100000,-0.26,0.81,0.74
100000,-0.29,0.99,0.75
100000,-0.29,0.87,0.57
100000,-0.29,1.06,0.55
100000,-0.31,1.03,0.24
100000,-0.35,1.09,0.04
100000,-0.30,1.05,-0.08
100000,-0.30,1.00,-0.34
100000,-0.35,1.05,-0.52
100000,-0.32,1.08,-0.75
100000,-0.33,0.99,-0.70
100000,-0.30,0.97,-0.77
100000,-0.30,0.85,-0.68
100000,-0.38,0.98,-0.53
100000,-0.31,0.78,-0.44
100000,-0.34,0.80,-0.20
100000,-0.27,0.72,0.10
100000,-0.29,0.83,0.07
100000,-0.25,0.77,0.46
100000,-0.24,0.78,0.47
100000,-0.24,0.80,0.78
100000,-0.28,0.89,0.69
100000,-0.28,0.93,0.66
100000,-0.28,1.11,0.63
100000,-0.32,0.98,0.30
100000,-0.30,1.20,0.17
100000,-0.28,1.04,-0.14
100000,-0.33,1.15,-0.27
100000,-0.33,1.03,-0.43
100000,-0.32,1.05,-0.61
100000,-0.32,1.02,-0.66
100000,-0.34,1.05,-0.76
100000,-0.33,0.98,-0.73
100000,-0.32,0.98,-0.84
100000,-0.30,0.90,-0.68
100000,-0.35,0.93,-0.64
100000,-0.32,0.88,-0.59
100000,-0.35,0.89,-0.32
100000,-0.28,0.74,-0.13
100000,-0.32,0.73,0.10
100000,-0.30,0.74,0.23
100000,-0.32,0.83,0.21
100000,-0.26,0.76,0.58
100000,-0.24,0.75,0.48
100000,-0.24,0.82,0.78
100000,-0.27,0.90,0.65
100000,-0.29,0.94,0.64
100000,-0.31,1.09,0.68
100000,-0.32,0.95,0.36
100000,-0.30,1.16,0.27
100000,-0.31,1.01,0.06
100000,-0.32,1.15,-0.03
100000,-0.30,1.08,-0.27
100000,-0.30,1.10,-0.40
100000,-0.30,1.01,-0.44
100000,-0.29,1.03,-0.67
100000,-0.32,1.02,-0.67
100000,-0.35,1.09,-0.77
100000,-0.31,0.98,-0.71
100000,-0.30,0.94,-0.76
100000,-0.28,0.86,-0.71
100000,-0.35,0.98,-0.62
100000,-0.32,0.83,-0.59
100000,-0.32,0.85,-0.39
100000,-0.25,0.73,-0.14
100000,-0.32,0.79,-0.02
100000,-0.27,0.75,0.21
100000,-0.32,0.85,0.23
100000,-0.27,0.77,0.53
100000,-0.33,0.90,0.47
100000,-0.25,0.83,0.73
100000,-0.27,0.94,0.71
100000,-0.30,0.88,0.57
100000,-0.32,1.01,0.72
100000,-0.31,0.93,0.45
100000,-0.32,1.03,0.48
100000,-0.31,1.04,0.27
100000,-0.34,1.11,0.13
100000,-0.30,1.09,0.11
100000,-0.29,1.03,-0.17
100000,-0.29,1.13,-0.22
100000,-0.28,1.07,-0.60
100000,-0.30,1.04,-0.69
100000,-0.26,0.97,-0.70
100000,-0.31,1.01,-0.78
100000,-0.30,1.00,-0.72
100000,-0.34,1.01,-0.76
100000,-0.31,0.93,-0.64
100000,-0.33,0.91,-0.57
100000,-0.28,0.75,-0.58
100000,-0.34,0.86,-0.36
100000,-0.35,0.91,-0.32
100000,-0.32,0.82,0.07
100000,-0.26,0.73,0.20
100000,-0.29,0.74,0.34
100000,-0.29,0.77,0.52
100000,-0.30,0.78,0.50
100000,-0.27,0.84,0.72
100000,-0.28,0.81,0.66
100000,-0.26,0.85,0.85
100000,-0.26,0.87,0.73
100000,-0.28,0.91,0.74
100000,-0.29,1.07,0.72
100000,-0.31,0.93,0.53
100000,-0.31,1.11,0.47
100000,-0.32,0.97,0.24
100000,-0.33,1.12,0.28
100000,-0.31,1.06,0.09
100000,-0.33,1.07,0.00
100000,-0.30,1.08,-0.02
100000,-0.27,1.01,-0.19
100000,-0.30,1.12,-0.27
100000,-0.30,1.08,-0.43
100000,-0.32,1.09,-0.46
100000,-0.28,1.00,-0.55
100000,-0.30,1.04,-0.65
100000,-0.27,1.00,-0.59
100000,-0.30,1.03,-0.67
100000,-0.30,1.00,-0.66
100000,-0.33,1.07,-0.71
100000,-0.31,1.02,-0.69
100000,-0.27,0.96,-0.70
100000,-0.25,0.90,-0.77
100000,-0.30,0.96,-0.66
100000,-0.33,1.02,-0.71
100000,-0.28,0.93,-0.65
100000,-0.31,0.95,-0.65
100000,-0.30,0.88,-0.60
100000,-0.34,0.93,-0.56
100000,-0.30,0.84,-0.64
100000,-0.36,0.93,-0.47
100000,-0.31,0.85,-0.45
100000,-0.30,0.82,-0.29
100000,-0.26,0.76,-0.22
100000,-0.29,0.78,-0.15
100000,-0.29,0.80,-0.04
100000,-0.33,0.90,-0.12
100000,-0.30,0.82,0.10
100000,-0.30,0.84,0.11
