282848,-0.38,-10.15,-0.67,-0.05,0.07,0.03,19.99
282950,-1.95,-9.41,2.27,-0.09,-0.11,0.01,19.99
283052,-0.41,-10.27,-0.51,-0.04,0.10,0.02,19.98
283152,-1.82,-9.39,2.29,-0.11,-0.18,0.01,19.99
283254,-0.63,-10.33,-0.15,-0.05,0.16,0.01,19.99
283356,-1.82,-9.43,2.28,-0.09,-0.19,0.02,19.99
283458,-0.67,-10.32,-0.32,-0.06,0.16,0.02,19.99
283560,-1.79,-9.50,2.12,-0.09,-0.19,0.02,19.99
283662,-0.67,-10.21,-0.19,-0.04,0.17,0.02,19.98
283764,-1.69,-9.28,2.12,-0.11,-0.20,0.02,19.99
283866,-0.68,-10.12,-0.36,-0.05,0.17,0.02,19.99
283968,-1.64,-9.27,2.09,-0.10,-0.23,0.02,19.99
284070,-0.65,-10.21,-0.16,-0.04,0.17,0.02,19.99
284172,-1.67,-9.42,1.93,-0.10,-0.22,0.02,19.99
284274,-0.72,-10.25,-0.12,-0.05,0.19,0.01,19.99
284376,-1.61,-9.48,1.97,-0.11,-0.24,0.02,19.99
284478,-0.67,-10.32,-0.09,-0.05,0.20,0.01,19.99
284578,-1.27,-9.72,1.62,-0.11,-0.28,0.02,20.00
284680,-0.98,-10.11,0.23,-0.04,0.25,0.01,19.99
284782,-1.40,-9.66,1.74,-0.11,-0.27,0.03,19.98
284884,-1.01,-9.99,0.08,-0.03,0.25,0.02,19.98
284986,-1.30,-9.46,1.63,-0.10,-0.28,0.03,19.99
285088,-0.82,-9.96,0.08,-0.04,0.25,0.02,19.99
285190,-1.47,-9.43,1.80,-0.10,-0.26,0.03,19.99
285292,-0.87,-10.05,0.06,-0.03,0.23,0.01,19.99
285394,-1.54,-9.51,1.88,-0.12,-0.25,0.02,19.99
285496,-0.84,-10.17,0.17,-0.04,0.24,0.01,19.99
285598,-1.54,-9.54,1.87,-0.11,-0.26,0.02,20.01
285700,-0.83,-10.18,0.02,-0.05,0.24,0.01,19.98
285802,-1.66,-9.56,2.00,-0.10,-0.25,0.02,19.98
285904,-0.71,-10.27,0.05,-0.03,0.23,0.02,19.98
286004,-1.36,-9.72,1.78,-0.11,-0.27,0.03,19.99
286106,-1.02,-10.05,0.20,-0.03,0.25,0.01,19.99
286208,-1.28,-9.51,1.58,-0.11,-0.30,0.03,19.99
286310,-1.05,-9.84,0.13,-0.04,0.26,0.02,19.98
286412,-1.43,-9.36,1.79,-0.09,-0.28,0.03,19.99
286514,-0.81,-9.93,-0.02,-0.03,0.24,0.01,19.99
286616,-1.45,-9.50,1.81,-0.11,-0.27,0.02,19.99
286718,-0.87,-10.07,0.01,-0.03,0.25,0.01,19.98
286820,-1.60,-9.50,1.93,-0.13,-0.25,0.02,19.99
286922,-0.75,-10.24,0.13,-0.05,0.23,0.01,19.97
